name,link,latitude,longitude,address,phone,category
Geprek Kak Rose 2,https://www.google.com/maps/place/Geprek+Kak+Rose+2/data=!4m7!3m6!1s0x2e7883e4864930e9:0x25524bf926de83c2!8m2!3d-7.9529521!4d112.6097325!16s%2Fg%2F11gksh5cjl!19sChIJ6TBJhuSDeC4RwoPeJvlLUiU?authuser=0&hl=id&rclk=1,-7.9529521,112.6097325,"Jl. Raya Sumbersari No.2D, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",0858-5500-007,Restoran Masakan Ayam
Geprek Kak Rose Kalpataru,https://www.google.com/maps/place/Geprek+Kak+Rose+Kalpataru/data=!4m7!3m6!1s0x2e78827f4b735f45:0x8bc25c3373effd9c!8m2!3d-7.9477877!4d112.6253063!16s%2Fg%2F11gsmt215c!19sChIJRV9zS3-CeC4RnP3vczNcwos?authuser=0&hl=id&rclk=1,-7.9477877,112.6253063,"Jl. Kalpataru No.147, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141","Jl. Kalpataru No.147, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",Restoran Masakan Ayam
Geprek Kak Rose,https://www.google.com/maps/place/Geprek+Kak+Rose/data=!4m7!3m6!1s0x2e788278b53e6371:0xe6cfbfeceba7c5de!8m2!3d-7.9562826!4d112.6056925!16s%2Fg%2F11gbf7ms8g!19sChIJcWM-tXiCeC4R3sWn6-y_z-Y?authuser=0&hl=id&rclk=1,-7.9562826,112.6056925,"Jl. Bend. Sigura-Gura Barat No.22a, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149",0858-5500-0072,Restoran Masakan Ayam
Geprek Kak Rose - Sukun,https://www.google.com/maps/place/Geprek+Kak+Rose+-+Sukun/data=!4m7!3m6!1s0x2e789d6566f67697:0xde4d25ebac6fdc41!8m2!3d-7.9968136!4d112.6192235!16s%2Fg%2F11rgq9fm2y!19sChIJl3b2ZmWdeC4RQdxvrOslTd4?authuser=0&hl=id&rclk=1,-7.9968136,112.6192235,"Jl. S. Supriadi No.56b, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147","Jl. S. Supriadi No.56b, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",Restoran Masakan Ayam
Ayam Geprek Kak Rose,https://www.google.com/maps/place/Ayam+Geprek+Kak+Rose/data=!4m7!3m6!1s0x2dd6295cf57d4873:0xc3af0b8b91c74baf!8m2!3d-7.9808389!4d112.6557402!16s%2Fg%2F11stpbs7s0!19sChIJc0h99Vwp1i0Rr0vHkYsLr8M?authuser=0&hl=id&rclk=1,-7.9808389,112.6557402,"2M94+M79, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur","2M94+M79, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur",Restoran
Geprek Kak Rose Suhat Malang,https://www.google.com/maps/place/Geprek+Kak+Rose+Suhat+Malang/data=!4m7!3m6!1s0x2dd6298470170c45:0xc770bda7b41764a9!8m2!3d-7.9410433!4d112.6228626!16s%2Fg%2F11h6j3sjyj!19sChIJRQwXcIQp1i0RqWQXtKe9cMc?authuser=0&hl=id&rclk=1,-7.9410433,112.6228626,"Ruko Soekarno Hatta, Blok DR, Jl. Soekarno Hatta No.15, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",0882-2858-4972,
