name,link,latitude,longitude,address,phone,category
Sego Tempong Mbok Wah,https://www.google.com/maps/place/Sego+Tempong+Mbok+Wah/data=!4m7!3m6!1s0x2dd1454c4d5a3f2d:0x1204202cb7953d1d!8m2!3d-8.2196145!4d114.3490694!16s%2Fg%2F11byx84klf!19sChIJLT9aTUxF0S0RHT2VtywgBBI?authuser=0&hl=id&rclk=1,-8.2196145,114.3490694,"Jl. Gembrung No.220, Lingkungan Watu Ulo R, Bakungan, Kec. Glagah, Kabupaten Banyuwangi, Jawa Timur 68431",0822-3163-1493,Restoran Jawa
Nasi Tempong Mbok Nah,https://www.google.com/maps/place/Nasi+Tempong+Mbok+Nah/data=!4m7!3m6!1s0x2dd15ad26a80440f:0xc0c3003a05f18d87!8m2!3d-8.2241415!4d114.3718409!16s%2Fg%2F1pzttlhmk!19sChIJD0SAatJa0S0Rh43xBToAw8A?authuser=0&hl=id&rclk=1,-8.2241415,114.3718409,,,
Sego Tempong Blambangan,https://www.google.com/maps/place/Sego+Tempong+Blambangan/data=!4m7!3m6!1s0x2dd1459643cd6269:0x27388a5d4f4e59d!8m2!3d-8.2212363!4d114.3510548!16s%2Fg%2F11ql1xy81b!19sChIJaWLNQ5ZF0S0RneX01KWIcwI?authuser=0&hl=id&rclk=1,-8.2212363,114.3510548,,,
Sego Tempong Mbak Har Banyuwangi,https://www.google.com/maps/place/Sego+Tempong+Mbak+Har+Banyuwangi/data=!4m7!3m6!1s0x2dd3fe7d67e3f9e9:0x2e220f37cd0bf794!8m2!3d-8.4324936!4d114.2287263!16s%2Fg%2F11b6y6p5fd!19sChIJ6fnjZ33-0y0RlPcLzTcPIi4?authuser=0&hl=id&rclk=1,-8.4324936,114.2287263,"Jl. Banyuwangi, Purwosari, Benculuk, Kec. Cluring, Kabupaten Banyuwangi, Jawa Timur 68482",0813-4668-4319,Restoran Jawa Timur
Sego Tempong Mbak Ida,https://www.google.com/maps/place/Sego+Tempong+Mbak+Ida/data=!4m7!3m6!1s0x2dd145b7475fbc69:0xa861c1b96c5e1f1b!8m2!3d-8.2028845!4d114.3743216!16s%2Fg%2F11h_46sk1s!19sChIJabxfR7dF0S0RGx9ebLnBYag?authuser=0&hl=id&rclk=1,-8.2028845,114.3743216,,,
Sego Tempong Mbak Ida,https://www.google.com/maps/place/Sego+Tempong+Ratu/data=!4m7!3m6!1s0x2dd15bb80637ce91:0x67738bbd5f8f2dbf!8m2!3d-8.2331835!4d114.3609032!16s%2Fg%2F11w8ydxrww!19sChIJkc43Brhb0S0Rvy2PX72Lc2c?authuser=0&hl=id&rclk=1,-8.2331835,114.3609032,,,
