name,link,latitude,longitude,address,phone,category
Bakso Sayur UB Malang,https://www.google.com/maps/place/Bakso+Sayur+UB+Malang/data=!4m7!3m6!1s0x2dd6290004118f93:0xb295225684884c8e!8m2!3d-7.9412711!4d112.6231714!16s%2Fg%2F11xh00rgds!19sChIJk48RBAAp1i0RjkyIhFYilbI?authuser=0&hl=id&rclk=1,-7.9412711,112.6231714,"Jl. Candi Panggung, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142","Jl. Candi Panggung, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",Restoran Bakso
Bakso Sayur UB Cab. Sigura-gura,https://www.google.com/maps/place/Bakso+Sayur+UB+Cab.+Sigura-gura/data=!4m7!3m6!1s0x2e7883d6b8904c3b:0x722c17d1ae5fb8da!8m2!3d-7.9577744!4d112.6077341!16s%2Fg%2F11mdwvw3tj!19sChIJO0yQuNaDeC4R2rhfrtEXLHI?authuser=0&hl=id&rclk=1,-7.9577744,112.6077341,"jl. Sigura - Gura.34d,Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Kota Malang, Jawa Timur 65149","jl. Sigura - Gura.34d,Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Kota Malang, Jawa Timur 65149",Restoran
Bakso sayur UB cabang UIN,https://www.google.com/maps/place/Bakso+sayur+UB+cabang+UIN/data=!4m7!3m6!1s0x2e7883fe68d2875f:0x1bf091bc79e92019!8m2!3d-7.9526749!4d112.609766!16s%2Fg%2F11zkjspnr9!19sChIJX4fSaP6DeC4RGSDpebyR8Bs?authuser=0&hl=id&rclk=1,-7.9526749,112.609766,"Jl. Raya Sumbersari, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",0851-7442-3135,Restoran
Bakso Sayur UB Cab. Tlogomas,https://www.google.com/maps/place/Bakso+Sayur+UB+Cab.+Tlogomas/data=!4m7!3m6!1s0x2e78830011115f2f:0xc6e1deddf1090f49!8m2!3d-7.9258117!4d112.6008001!16s%2Fg%2F11xtysjfc6!19sChIJL18REQCDeC4RSQ8J8d3e4cY?authuser=0&hl=id&rclk=1,-7.9258117,112.6008001,"Jl. Raya Tlogomas No.110, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",0851-7442-3135,Restoran
Bakso sayur UB cab. Mergan,https://www.google.com/maps/place/Bakso+sayur+UB+cab.+Mergan/data=!4m7!3m6!1s0x2e7883b99edf36a5:0x589e303486315f3e!8m2!3d-7.9877413!4d112.6158625!16s%2Fg%2F11xzrw1wwr!19sChIJpTbfnrmDeC4RPl8xhjQwnlg?authuser=0&hl=id&rclk=1,-7.9877413,112.6158625,"Jl. Mergan Lori No.3, Tanjungrejo, Kec. Sukun, Kota Malang, Jawa Timur 65147",0851-7442-3135,Restoran
Bakso Sayur UB Cab.Sukun,https://www.google.com/maps/place/Bakso+Sayur+UB+Cab.Sukun/data=!4m7!3m6!1s0x2dd627365f2c86c5:0x81674989478de370!8m2!3d-8.0133436!4d112.6202583!16s%2Fg%2F11yhfxtlj_!19sChIJxYYsXzYn1i0RcOONR4lJZ4E?authuser=0&hl=id&rclk=1,-8.0133436,112.6202583,"Jl. Raya Kepuh No.36, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148",0851-7442-3135,Restoran
