name,link,latitude,longitude,address,phone,category
Mie Gacoan Suhat,https://www.google.com/maps/place/Mie+Gacoan+Suhat/data=!4m7!3m6!1s0x2dd629adcb5961ad:0x78ff8cd2b5b452e7!8m2!3d-7.9380555!4d112.6281303!16s%2Fg%2F11wmj6l3jv!19sChIJrWFZy60p1i0R51K0tdKM_3g?authuser=0&hl=id&rclk=1,-7.9380555,112.6281303,"Di samping Dikichi Fied Chicken, Jl. Soekarno Hatta, RT.01/RW.14, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",0896-3934-5020,Restoran Indonesia
Mie Gacoan Tlogomas,https://www.google.com/maps/place/Mie+Gacoan+Tlogomas/data=!4m7!3m6!1s0x2e7883551a052a8d:0xd1abac38ecba2d44!8m2!3d-7.9342323!4d112.604645!16s%2Fg%2F11t_k3d13_!19sChIJjSoFGlWDeC4RRC267Disq9E?authuser=0&hl=id&rclk=1,-7.9342323,112.604645,"Jl. Raya Tlogomas No.5, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144","Jl. Raya Tlogomas No.5, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144",Restoran Mie
Mie Gacoan,https://www.google.com/maps/place/Mie+Gacoan/data=!4m7!3m6!1s0x2dd6296dc886eb2b:0x9155f320e6f9cc0c!8m2!3d-7.962958!4d112.6237226!16s%2Fg%2F11v02w5rcb!19sChIJK-uGyG0p1i0RDMz55iDzVZE?authuser=0&hl=id&rclk=1,-7.962958,112.6237226,"Jl. Jakarta No.16, RW.3, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",0822-3361-6163,Restoran Mie
Mie Gacoan Stasiun Kota Malang,https://www.google.com/maps/place/Mie+Gacoan+Stasiun+Kota+Malang/data=!4m7!3m6!1s0x2dd629b60b7d6d1b:0x11c797e4f7ea9e41!8m2!3d-7.975803!4d112.6364057!16s%2Fg%2F11svpx6xc5!19sChIJG219C7Yp1i0RQZ7q9-SXxxE?authuser=0&hl=id&rclk=1,-7.975803,112.6364057,"Jl. Ronggo Warsito No.27, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111","Jl. Ronggo Warsito No.27, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111",Restoran Mie
Mie Gacoan Malang - Sukun,https://www.google.com/maps/place/Mie+Gacoan+Malang+-+Sukun/data=!4m7!3m6!1s0x2e78833db8f86e79:0xf9530d21e7e657f9!8m2!3d-7.9985522!4d112.6185701!16s%2Fg%2F11kpdxkkb3!19sChIJeW74uD2DeC4R-Vfm5yENU_k?authuser=0&hl=id&rclk=1,-7.9985522,112.6185701,"Jl. S. Supriadi No.74, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65148",0896-3934-5020,Restoran Mie
Mie Gacoan Malang - Sukun,https://www.google.com/maps/place/Dinoyo+gacoan/data=!4m7!3m6!1s0x2e7883007af7ad07:0xbb7f94623849fc83!8m2!3d-7.9345933!4d112.6046957!16s%2Fg%2F11vrsp16c7!19sChIJB633egCDeC4Rg_xJOGKUf7s?authuser=0&hl=id&rclk=1,-7.9345933,112.6046957,,,
Mie Gacoan Sawojajar Kota Malang,https://www.google.com/maps/place/Mie+Gacoan+Sawojajar+Kota+Malang/data=!4m7!3m6!1s0x2dd62943c8df2c89:0xe738fe2d59b1afe!8m2!3d-7.9812603!4d112.653789!16s%2Fg%2F11sv7nxknc!19sChIJiSzfyEMp1i0R_hqb1eKPcw4?authuser=0&hl=id&rclk=1,-7.9812603,112.653789,"2M93+GGG, Jl. Dirgantara, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139","2M93+GGG, Jl. Dirgantara, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",Restoran Mie
Mie Gacoan Malang - Singosari,https://www.google.com/maps/place/Mie+Gacoan+Malang+-+Singosari/data=!4m7!3m6!1s0x2dd62b7894907899:0xb702cbaf429d0c2a!8m2!3d-7.9001902!4d112.6627503!16s%2Fg%2F11t_k3p1bf!19sChIJmXiQlHgr1i0RKgydQq_LArc?authuser=0&hl=id&rclk=1,-7.9001902,112.6627503,"Jl. Raya Mondoroko No.123A, RT.08/RW.07, Pangetan, Pagentan, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153","Jl. Raya Mondoroko No.123A, RT.08/RW.07, Pangetan, Pagentan, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",Restoran Mie
