nama_tempat,username,rating,review
Kopi Studio 24 Panglima Sudirman,Nozan Tya,5,"Tetap jaga ramah, kualitas makanan minuman, dan kebersihan yaa kakk. Terimakasih"
Kopi Studio 24 Panglima Sudirman,kodok zuma,5,Tempat baguss dan bersih cocok buat ngerjain tugas dan pelayanannya ramah
Kopi Studio 24 Panglima Sudirman,pratista rahmaaa,5,"pelayan baik, harga murah, rasa okee👍🏻👍🏻👍🏻"
Kopi Studio 24 Panglima Sudirman,Han Zs,5,"Suasana nyaman buat nugas kuliah, makan dan minuman meskipun murah enak banget, recommended banget lah intinya"
Kopi Studio 24 Panglima Sudirman,Elsa Dwi Rhenata,5,"Harga di kopi studio memang murah, kualitas rasa enak, tempatnya sih nyaman karna ada sofa juga di lt 2."
Kopi Studio 24 Panglima Sudirman,Hibatul Aziz Lutfian,5,"Enak rasaya , tempat nyaman, pelayanan bertangung jawab untuk segalanta, dan wifi lancar"
Kopi Studio 24 Panglima Sudirman,Mc Huwayu,3,"Meja kecil2 cukup berdua saja.
Suasana biasa saja , dekor tidak ada.
Untuk area merokok dan tidak blm ada tanpa warning sekat mana wajib tanpa rokok.
Krn ada meja outdoor juga.
Untuk makanan cukup enak untuk ke panco nya.
Dan harganya yg sangat istimewa murah meriah."
Kopi Studio 24 Panglima Sudirman,nia nadiatus,5,pelayanan ramah sekali minumannya oke cepat penyajiannya rekomendasi pollll sihhhhhhhhh
Kopi Studio 24 Panglima Sudirman,karimatul chikmah,5,"Pelayananya ramah banget, minumannya oke,cepatt penyajiannya, rekomendasi poll sih🥰😍"
Kopi Studio 24 Panglima Sudirman,Revan Gaming,5,pelayanannya cepat dan kasir ramah dan murah senyum
Kopi Studio 24 Panglima Sudirman,Muhammad Nazran Isany,5,Makanan nya enak layanan ramah
Kopi Studio 24 Panglima Sudirman,Puput Moejia,5,Tempatnya cozy … menunya enak2 harganya affordable
Kopi Studio 24 Panglima Sudirman,Shellia herni,5,"Pelayanannya ramah tempatnya oke,, pokoknya recommended bng buat kaliann"
Kopi Studio 24 Panglima Sudirman,resita nursafitri,5,"Minuman murah dan enak, tempat nyaman dan pelayanan ramah"
Kopi Studio 24 Panglima Sudirman,Margaretha Fransiska Carolin Oinori,5,"aesthetic banget, karyawan ramah dan grecep, pesanan sesuai rasa enak dan pas di kantonh"
Kopi Studio 24 Panglima Sudirman,Pendik Ayam,5,Tempatnya nyaman dan pelayanannys cepat
