name,link,latitude,longitude,address,phone,category
Kopi Studio 24,https://www.google.com/maps/place/Kopi+Studio+24/data=!4m7!3m6!1s0x2e7883fce022e799:0x6f8e4da8f839a9ea!8m2!3d-7.9548649!4d112.6062108!16s%2Fg%2F11h8jllqpw!19sChIJmeci4PyDeC4R6qk5-KhNjm8?authuser=0&hl=id&rclk=1,-7.9548649,112.6062108,"Jl. Sigura - Gura No.33, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149","Jl. Sigura - Gura No.33, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65149",Kafe
Kopi Studio 24,https://www.google.com/maps/place/Kopi+Studio+24/data=!4m7!3m6!1s0x2e7883c7ef50f90d:0x4ae99d739f70138!8m2!3d-7.9468286!4d112.6179213!16s%2Fg%2F11fjvztx1f!19sChIJDflQ78eDeC4ROAH3OdeZrgQ?authuser=0&hl=id&rclk=1,-7.9468286,112.6179213,"Jl. Soekarno Hatta, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141","Jl. Soekarno Hatta, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",Kedai Kopi
Kopi Studio 24 Panglima Sudirman,https://www.google.com/maps/place/Kopi+Studio+24+Panglima+Sudirman/data=!4m7!3m6!1s0x2dd629005ab00ded:0xc8af9fbf9dca50c6!8m2!3d-7.9733138!4d112.6378744!16s%2Fg%2F11yd_4dwwf!19sChIJ7Q2wWgAp1i0RxlDKnb-fr8g?authuser=0&hl=id&rclk=1,-7.9733138,112.6378744,"Ruko Panglima Sudirman, Permai kav 12, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65121",0812-2255-0007,Kedai Kopi
Kopi Studio 24,https://www.google.com/maps/place/Kopi+Studio+24/data=!4m7!3m6!1s0x2dd6291d6abaea3b:0x8c25eec8210922d8!8m2!3d-7.9444537!4d112.6500093!16s%2Fg%2F11jnkhvbzp!19sChIJO-q6ah0p1i0R2CIJIcjuJYw?authuser=0&hl=id&rclk=1,-7.9444537,112.6500093,"Jl. Laksda Adi Sucipto No.193, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur 65126",0857-3165-3865,Kafe
Kopi Studio 24 Bromo,https://www.google.com/maps/place/Kopi+Studio+24+Bromo/data=!4m7!3m6!1s0x2dd6290019adbc51:0x661c2f71b6c2def0!8m2!3d-7.9788401!4d112.6256528!16s%2Fg%2F11xnljtljr!19sChIJUbytGQAp1i0R8N7CtnEvHGY?authuser=0&hl=id&rclk=1,-7.9788401,112.6256528,"Jl. Bromo No.4, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119","Jl. Bromo No.4, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119",Kedai Kopi
KOPI STUDIO 24 SARANGAN,https://www.google.com/maps/place/KOPI+STUDIO+24+SARANGAN/data=!4m7!3m6!1s0x2dd62900134ff42f:0x91bcc0b090f114a2!8m2!3d-7.9601586!4d112.6329195!16s%2Fg%2F11wvqtvzw3!19sChIJL_RPEwAp1i0RohTxkLDAvJE?authuser=0&hl=id&rclk=1,-7.9601586,112.6329195,"Jl. Sarangan No.19, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",0812-2211-1505,Kedai Kopi
